DateSim,Tambon_ID,Tambon,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2020,500501,เชิงดอย,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,83.972984,0.3521,100.0,534.7672,534.415,0,0
01/01/2020,500502,สันปูเลย,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,82.88948,1.703,100.0,431.3462,429.6431,0,0
01/01/2020,500503,ลวงเหนือ,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,87.42993,0.3358,100.0,1179.8197,1179.4838,0,0
01/01/2020,500504,ป่าป้อง,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,92.099396,0.1539,100.0,531.3315,531.1777,0,0
01/01/2020,500507,ตลาดขวัญ,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,87.45573,0.2566,100.0,361.3654,361.1087,0,0
01/01/2020,500508,สำราญราษฎร์,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,74.5773,2.4581999999999997,100.0,341.421,338.9629,0,0
01/01/2020,500509,แม่คือ,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,79.6389,0.15839999999999999,100.0,200.29469999999998,200.1363,0,0
01/01/2020,500510,ตลาดใหญ่,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,86.6818,2.0463999999999998,100.0,354.107,352.0605,0,0
01/01/2020,500511,แม่ฮ้อยเงิน,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,89.97105,0.2854,100.0,570.7342,570.4486999999999,0,0
01/01/2020,500512,แม่โป่ง,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,82.03813,0.1096,100.0,595.3473,595.2378,0,0
01/01/2020,500513,ป่าเมี่ยง,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,93.205025,1.1315,100.0,1005.1922,1004.0608,0,0
01/01/2020,500514,เทพเสด็จ,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon01,97.517,0.5831000000000001,100.0,365.7283,365.1454,0,0
01/01/2020,500601,สันมหาพน,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,86.22516,22.6724,100.0,1307.2977999999998,1284.6253,0,0
01/01/2020,500602,แม่แตง,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,86.0046,0.10089999999999999,100.0,578.3736,578.2726,0,0
01/01/2020,500603,ขี้เหล็ก,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,83.4409,1.2793,100.0,754.0835,752.8042,0,0
01/01/2020,500604,ช่อแล,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,81.2642,0.1772,100.0,137.7482,137.571,0,0
01/01/2020,500605,แม่หอพระ,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,80.56762,30.2616,100.0,593.5368,563.2752,0,0
01/01/2020,500606,สบเปิง,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,92.56376,0.3055,100.0,1037.1744999999999,1036.869,0,0
01/01/2020,500607,บ้านเป้า,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,83.586,9.8753,100.0,139.7863,129.911,0,0
01/01/2020,500608,สันป่ายาง,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,97.517,0.1205,100.0,229.4799,229.3594,0,0
01/01/2020,500609,ป่าแป๋,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,97.517,1.6605999999999999,100.0,107.4469,105.78620000000001,0,0
01/01/2020,500610,เมืองก๋าย,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,97.517,0.0499,100.0,85.85589999999999,85.8061,0,0
01/01/2020,500612,กื้ดช้าง,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,96.039474,9.8494,100.0,394.1546,384.3051,0,0
01/01/2020,500613,อินทขิล,5006,แม่แตง,50,เชียงใหม่,Forecastmon01,87.48282,94.4663,100.0,1656.662,1562.1956,0,0
01/01/2020,500701,ริมใต้,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,85.3274,0.1101,100.0,259.4843,259.3743,0,0
01/01/2020,500702,ริมเหนือ,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,89.3906,6.7954,100.0,160.32170000000002,153.5263,0,0
01/01/2020,500704,ขี้เหล็ก,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,90.5515,33.8437,100.0,405.26959999999997,371.42589999999996,0,0
01/01/2020,500705,สะลวง,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,83.8182,5.5359,100.0,642.0781999999999,636.5423000000001,0,0
01/01/2020,500706,ห้วยทราย,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,92.87333,0.1262,100.0,252.8908,252.7647,0,0
01/01/2020,500707,แม่แรม,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,97.517,0.0317,100.0,70.7216,70.69,0,0
01/01/2020,500708,โป่งแยง,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,97.517,0.0128,100.0,15.4458,15.433,0,0
01/01/2020,500709,แม่สา,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,90.5515,0.15839999999999999,100.0,143.6254,143.46699999999998,0,0
01/01/2020,500710,ดอนแก้ว,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,81.2642,0.12090000000000001,100.0,204.2167,204.0958,0,0
01/01/2020,500711,เหมืองแก้ว,5007,แม่ริม,50,เชียงใหม่,Forecastmon01,80.9546,40.8221,100.0,407.93499999999995,367.1129,0,0
01/01/2020,500801,สะเมิงใต้,5008,สะเมิง,50,เชียงใหม่,Forecastmon01,92.64115,5.1155,100.0,363.1599,358.0444,0,0
01/01/2020,500802,สะเมิงเหนือ,5008,สะเมิง,50,เชียงใหม่,Forecastmon01,97.517,0.9014,100.0,69.3312,68.4298,0,0
01/01/2020,501101,เวียง,5011,พร้าว,50,เชียงใหม่,Forecastmon01,97.517,0.0287,100.0,75.4232,75.3946,0,0
01/01/2020,501102,ทุ่งหลวง,5011,พร้าว,50,เชียงใหม่,Forecastmon01,82.889465,6.271199999999999,100.0,445.5484,439.2772,0,0
01/01/2020,501103,ป่าตุ้ม,5011,พร้าว,50,เชียงใหม่,Forecastmon01,97.517,0.0077,100.0,109.6191,109.6113,0,0
01/01/2020,501104,ป่าไหน่,5011,พร้าว,50,เชียงใหม่,Forecastmon01,89.3906,0.1793,100.0,419.5863,419.4071,0,0
01/01/2020,501105,สันทราย,5011,พร้าว,50,เชียงใหม่,Forecastmon01,93.4538,0.5225,100.0,256.8447,256.3223,0,0
01/01/2020,501108,เขื่อนผาก,5011,พร้าว,50,เชียงใหม่,Forecastmon01,82.77336,10.1321,100.0,883.8339,873.7021,0,0
01/01/2020,501110,แม่ปั๋ง,5011,พร้าว,50,เชียงใหม่,Forecastmon01,94.8082,5.606,100.0,370.4444,364.8384,0,0
01/01/2020,501111,โหล่งขอด,5011,พร้าว,50,เชียงใหม่,Forecastmon01,89.39059,1.8598,100.0,233.3765,231.51659999999998,0,0
01/01/2020,501201,ยุหว่า,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,81.2642,0.419,100.0,910.2034,909.7842,0,0
