DateSim,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2020,6304,แม่ระมาด,63,ตาก,Forecastmon01,97.517,0.2308,100.0,53.7605,53.5297,0,0
01/01/2020,6309,วังเจ้า,63,ตาก,Forecastmon01,87.90461,20.130399999999998,100.0,671.9861,651.8558,0,0
01/01/2021,5001,เมืองเชียงใหม่,50,เชียงใหม่,Forecastmon13,352.201,44.3972,100.0,21347.1611,21302.7638,0,3
01/01/2021,5002,จอมทอง,50,เชียงใหม่,Forecastmon13,373.2843,17411.0933,100.0,56511.0616,39099.9679,3,3
01/01/2021,5003,แม่แจ่ม,50,เชียงใหม่,Forecastmon13,398.6236,3502.0635,100.0,40167.7861,36665.7223,3,3
01/01/2021,5004,เชียงดาว,50,เชียงใหม่,Forecastmon13,417.5723,464.8064,100.0,35554.1992,35089.392700000004,3,3
01/01/2021,5005,ดอยสะเก็ด,50,เชียงใหม่,Forecastmon13,378.4551,103.7637,100.0,96947.63130000001,96843.8676,0,3
01/01/2021,5006,แม่แตง,50,เชียงใหม่,Forecastmon13,390.219,4290.5131,100.0,106045.65460000001,101755.1408,3,3
01/01/2021,5007,แม่ริม,50,เชียงใหม่,Forecastmon13,389.48682,2108.4183000000003,100.0,38028.1331,35919.7149,3,3
01/01/2021,5008,สะเมิง,50,เชียงใหม่,Forecastmon13,416.2002,122.55619999999999,100.0,6592.5544,6469.998299999999,3,3
01/01/2021,5011,พร้าว,50,เชียงใหม่,Forecastmon13,398.20212,457.3772,100.0,41296.8759,40839.4986,0,3
01/01/2021,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon13,361.64093,3234.9665999999997,100.0,83703.5661,80468.5989,3,3
01/01/2021,5013,สันกำแพง,50,เชียงใหม่,Forecastmon13,365.55463,800.0968,100.0,63630.4597,62830.3624,0,3
01/01/2021,5014,สันทราย,50,เชียงใหม่,Forecastmon13,371.39755,3134.7998000000002,100.0,94792.04299999999,91657.2426,3,3
01/01/2021,5015,หางดง,50,เชียงใหม่,Forecastmon13,379.29706,165.84470000000002,100.0,67238.0293,67072.1845,0,3
01/01/2021,5016,ฮอด,50,เชียงใหม่,Forecastmon13,387.14203,9061.5652,100.0,35176.658800000005,26115.0934,3,3
